name,All students,Male,Female,White,Hispanic,Two or more races,Eligible for National Lunch Program,Not eligible for National Lunch Program
Alabama,139.9775036,140.9104989,139.0202052,153.1431034,128.2992301,147.6833733,127.0279143,154.6206237
Alaska,153.4795362,154.3871297,152.5177721,166.2505827,143.6285788,152.2224544,139.185814,164.1770724
Arizona,143.7537155,145.7545396,141.7006665,161.6074133,132.9847441,153.4910932,132.4420488,155.5930641
Arkansas,147.6651604,148.760554,146.5608697,159.8524225,137.1931941,151.3015592,138.183679,160.1649281
California,140.4158838,142.5866958,138.1218633,162.0870591,129.1851298,156.5852301,127.0055777,156.9983717
Colorado,160.5761647,162.1998062,158.9028082,172.2886875,143.7276702,166.0828943,143.6351702,170.6733188
Connecticut,154.6677323,156.0737124,153.2607993,167.0189159,133.3974489,150.7140904,130.2120527,166.4917253
Delaware,150.0546272,150.7366659,149.3554038,161.8819646,140.1944057,151.0660329,137.7701398,159.7432361
District of Columbia,111.719077,109.8845593,113.4714658,170.1955983,114.0392259,129.5329323,103.9314758,131.4304425
Florida,148.392094,149.5301532,147.2136503,162.6163311,143.6164699,149.6728307,137.6614369,161.5541052
Georgia,150.5702846,152.7260273,148.371283,166.281188,142.9255297,154.9211572,138.4947643,166.4724228
Hawaii,142.0555101,142.5846816,141.4824807,159.1674916,141.4613625,151.0970962,131.6439812,150.9261126
Idaho,159.0068977,161.6634063,156.2149144,165.4681366,142.0229852,156.8384144,149.3817282,166.5618261
Illinois,147.211486,150.3401167,143.9595453,161.8934817,135.3289417,150.7967109,131.6272745,161.6312702
Indiana,152.9549282,156.7044863,149.2095122,161.4553682,136.8824512,150.9839328,139.1735286,163.7771754
Iowa,157.26539,159.2302896,155.2237259,161.9054775,143.0226315,148.871245,146.9567632,163.5021949
Kansas,155.9165154,158.9935601,152.6873939,164.9089599,136.549466,155.8417108,142.6109101,166.4248702
Kentucky,156.8460437,158.3964749,155.2027494,160.5637932,148.3662323,158.1126233,147.5874057,167.0726789
Louisiana,142.8508378,144.4956459,141.1624853,156.6648754,135.6686717,154.5924489,133.9215398,157.1287134
Maine,160.012153,161.6591649,158.2826466,161.8986607,148.3920977,160.694538,151.7932717,165.7831131
Maryland,151.5053472,152.0818687,150.917275,169.061374,139.4449964,149.2723639,131.561819,161.9159165
Massachusetts,161.2253284,163.746897,158.6272518,171.2127558,135.4036901,164.1347179,140.812282,171.4383025
Michigan,157.1173265,159.7168632,154.4141208,166.5917772,143.8441934,144.0014069,143.2478704,167.5540944
Minnesota,160.895224,163.3556342,158.341654,169.4316581,140.1021425,156.9900456,145.2100803,168.3341832
Mississippi,137.3590072,141.5087945,133.1767432,155.9118814,132.2274085,141.739982,128.0013685,157.2836663
Missouri,156.3388879,157.987109,154.653378,163.2986739,144.4234194,155.7450207,144.8346098,164.8910637
Montana,163.3290715,166.2092108,160.2993477,168.3079664,150.7360201,164.8322658,152.8479975,169.7877883
Nebraska,156.7290993,157.9330668,155.4687095,165.2420685,135.4047179,153.0539117,141.7286975,166.4957713
Nevada,144.3887227,147.8603263,140.7888726,159.2164451,134.9867144,152.5244118,134.2131783,153.6624321
New Hampshire,162.2856288,164.5252329,159.959438,164.8220367,144.9088107,165.0500548,151.9761865,165.1405563
New Jersey,154.756725,157.0594198,152.3727464,166.7181654,138.1744461,163.1225914,134.3401473,163.8193938
New Mexico,144.7615364,147.1377313,142.3095133,162.5219808,139.8763394,157.8524544,137.219526,158.5657742
New York,148.58317,149.8806664,147.2448317,164.1122908,133.454468,147.5791864,133.6873196,164.2257133
North Carolina,147.7265096,148.8857491,146.5393313,160.3404266,137.7649895,146.3914084,136.1572446,159.697171
North Dakota,164.0093446,167.1542437,160.7446303,169.182623,144.631001,160.7441717,151.0449248,169.8810562
Ohio,158.3818182,161.3930196,155.2693552,166.72339,147.6342071,150.7471043,144.0199649,169.3505888
Oklahoma,148.33249,149.6900646,146.9829981,156.5688252,135.9477027,150.6247851,140.9587361,156.8855473
Oregon,155.4601115,157.1888488,153.6869522,163.6428907,138.0663564,162.7903659,145.157092,166.0980868
Pennsylvania,151.3705676,155.4735283,147.1293309,164.2928221,127.078921,143.2804884,131.8284718,164.6758554
Rhode Island,148.9685405,151.301578,146.4679045,162.3999613,124.2949649,155.4118924,130.7550622,161.8042373
South Carolina,148.8706804,150.1828169,147.4982283,163.1287266,137.6193327,150.9390133,136.5257751,162.2719796
South Dakota,162.0512334,165.4097215,158.5574237,167.2131779,148.7135641,160.195511,150.7829696,168.2461004
Tennessee,150.2338505,153.5944397,146.7610619,161.0287739,135.8629426,152.4644016,139.0228599,162.9192618
Texas,152.8728835,155.1838116,150.5300975,168.6651502,146.1128726,155.5641173,142.4666271,168.1698349
Utah,161.4003233,164.1540785,158.622156,169.1587164,140.5856585,160.0088928,149.7367728,167.9096116
Vermont,162.9182263,165.4559708,160.2900975,164.7082658,147.7295271,163.1438826,149.8871738,169.5683766
Virginia,159.5449199,160.8422854,158.1772045,169.1593922,145.982589,163.1312902,143.6357215,167.0720473
Washington,156.2922103,158.502008,153.9986275,165.2217159,141.9878865,155.8584231,143.1381183,165.2686425
West Virginia,149.3193314,153.4254282,145.0733103,151.3985224,135.48057,148.7328524,142.0171878,155.7183731
Wisconsin,158.897343,161.7495918,155.9192781,167.6712276,141.4813915,151.7740052,142.9356936,166.9483059
Wyoming,160.2826322,163.3682542,157.1037049,165.3432711,145.2128373,161.5706146,151.3137131,164.9254549
